truth	prediction	n
1.1	1.1	5
1.2	1.4	12
1.3	1.2	241
1.4	1.3	827
1.4	2.1	9
2.1	2.1	68
2.2	2.2	992
2.2	2.3	8
2.2	NA	5
2.3	2.2	2
2.3	2.3	1389
2.3	NA	9
2.4	1.3	3
2.4	2.2	10
2.4	2.4	3277
2.4	NA	51
2.5	2.2	2
2.5	2.5	3617
2.5	NA	1
