truth	prediction	n
1.1	1.1	5
1.2	1.4	12
1.3	1.2	241
1.4	1.3	827
1.4	2.3	9
2.1	2.1	68
2.2	2.2	1005
2.3	2.2	12
2.3	2.3	1388
2.4	2.2	52
2.4	2.4	3289
2.5	2.2	17
2.5	2.5	3603
