truth	prediction	n
1.1	1.1	5
1.2	1.2	12
1.3	1.3	241
1.4	1.4	836
2.1	2.1	68
2.2	2.2	665
2.2	NA	340
2.3	2.3	1388
2.3	NA	12
2.4	2.4	2401
2.4	NA	940
2.5	2.5	3620
