source_row	sample_id	severity	code	detail
5125	GCF_000588695	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5126	GCF_000588735	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5129	GCF_000588795	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5130	GCF_000588815	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5131	GCF_000588955	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5132	GCF_000588975	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5133	GCF_000588995	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5134	GCF_000589015	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5135	GCF_000589035	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5136	GCF_000589055	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5137	GCF_000589195	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5138	GCF_000589475	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5139	GCF_000589495	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5140	GCF_000611045	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5141	GCF_000611065	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5142	GCF_000611085	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5143	GCF_000611105	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5144	GCF_000611165	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5145	GCF_000611185	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5146	GCF_000611545	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5147	GCF_000611565	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5148	GCF_000627395	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5149	GCF_000671435	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5151	GCF_000681595	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5153	GCF_000681695	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5154	GCF_000681835	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5155	GCF_000681855	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5156	GCF_000682175	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5157	GCF_000682235	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5159	GCF_000682395	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5162	GCF_000682455	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5164	GCF_000682495	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5166	GCF_000682535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5167	GCF_000682655	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5226	GCF_000581235	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5227	GCF_000581515	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5228	GCF_000581535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5234	GCF_000583235	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5235	GCF_000583435	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5236	GCF_000583535	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5237	GCF_000583555	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5238	GCF_000583575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5239	GCF_000583595	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5242	GCF_000584395	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
